Code,chamber,Sex,Mass,CO2 prod uL/min,VCOsd,Age,Act,batch
F1,1,F,2.63,1.04E-01,5.45E-06,20,8.87E-02,One
F2,3,F,2.31,1.06E-01,7.59E-06,20,6.38E-03,One
F3,5,F,2.52,4.70E-02,2.68E-06,20,6.63E-03,One
F4,7,F,2.32,6.64E-02,3.44E-06,20,3.41E-03,One
F5,9,F,2.68,7.00E-02,1.21E-05,20,4.59E-02,One
F6,11,F,2.66,4.45E-02,4.80E-06,20,5.57E-02,One
F7,2,F,2.64,9.39E-02,9.81E-06,15,1.67E-01,Two
F8,4,F,2.64,8.43E-02,2.78E-06,15,4.65E-02,Two
F9,6,F,2.52,7.19E-02,2.28E-06,15,1.14E-01,Two
F10,8,F,1.93,4.58E-02,1.74E-06,15,5.40E-02,Two
F11,10,F,2.57,5.38E-02,2.90E-06,15,8.67E-02,Two
F12,12,F,2.65,5.18E-02,2.24E-06,15,1.65E-01,Two
F13,1,F,1.68,5.54E-02,8.09E-06,15,1.16E-02,Three
F14,3,F,2.41,8.51E-02,5.02E-06,15,1.69E-03,Three
F15,5,F,1.61,6.43E-02,5.64E-06,15,6.82E-03,Three
F16,7,F,1.86,8.06E-02,8.98E-06,15,5.55E-03,Three
F17,9,F,1.81,6.89E-02,2.96E-06,15,9.21E-03,Three
F18,11,F,1.73,7.97E-02,1.58E-05,15,1.87E-02,Three
F19,2,F,1.91,6.31E-02,2.41E-06,20,1.12E-02,Four
F20,4,F,2.47,7.58E-02,6.97E-06,20,6.52E-03,Four
F21,6,F,2.01,5.63E-02,4.12E-06,20,1.54E-02,Four
F22,8,F,2.25,4.93E-02,5.07E-06,20,6.01E-03,Four
F23,10,F,2.27,6.92E-02,3.72E-06,20,5.81E-03,Four
F24,12,F,2.48,6.27E-02,3.53E-06,20,1.18E-02,Four
F25,1,F,2.9,7.56E-02,7.23E-06,10,1.29E-02,Five
F26,3,F,2.42,6.14E-02,7.95E-06,10,2.84E-02,Five
F27,5,F,3.03,4.76E-02,4.09E-06,10,2.34E-02,Five
F28,7,F,3.24,7.86E-02,1.01E-05,10,3.33E-02,Five
F29,9,F,2.76,4.60E-02,6.30E-06,10,7.61E-02,Five
F30,11,F,2.66,4.06E-02,3.28E-06,10,6.50E-02,Five
F31,2,F,2.88,2.82E-02,2.80E-06,10,1.01E-02,Six
F32,4,F,3.16,5.93E-02,5.16E-06,10,1.32E-02,Six
F33,6,F,2.17,4.97E-02,9.33E-06,10,5.04E-02,Six
F34,8,F,2.42,1.96E-02,1.95E-06,10,1.34E-02,Six
F35,10,F,2.23,4.71E-02,4.05E-06,10,5.66E-02,Six
F36,12,F,2.94,5.11E-02,9.28E-06,10,1.19E-02,Six
M1,2,M,1.6,8.70E-02,4.09E-06,20,3.10E-02,One
M2,4,M,2.05,1.18E-01,8.62E-06,20,7.18E-03,One
M3,6,M,2.28,6.62E-02,2.18E-06,20,5.91E-02,One
M4,8,M,2.09,6.86E-02,2.95E-06,20,6.97E-03,One
M5,10,M,2.1,5.55E-02,3.79E-06,20,2.34E-02,One
M6,12,M,2.02,4.82E-02,3.12E-06,20,6.69E-02,One
M7,1,M,1.48,4.18E-02,3.48E-06,15,8.94E-02,Two
M8,3,M,1.82,8.53E-02,4.56E-06,15,3.23E-02,Two
M9,5,M,2.18,5.38E-02,2.38E-06,15,2.50E-02,Two
M10,7,M,2.46,6.82E-02,3.47E-06,15,6.50E-02,Two
M11,9,M,1.69,4.36E-02,3.26E-06,15,2.95E-02,Two
M12,11,M,1.66,3.21E-02,2.62E-06,15,2.23E-01,Two
M13,2,M,2.36,5.22E-02,3.07E-06,15,4.56E-03,Three
M14,4,M,3.27,7.16E-02,8.49E-06,15,9.52E-03,Three
M15,6,M,2.72,3.53E-02,4.92E-06,15,5.85E-03,Three
M16,8,M,3.46,3.94E-02,1.22E-05,15,5.77E-03,Three
M17,10,M,2.86,4.10E-02,5.04E-06,15,1.36E-02,Three
M18,12,M,3.05,3.50E-02,1.08E-05,15,2.94E-03,Three
M19,1,M,1.57,5.57E-02,3.27E-06,20,1.01E-01,Four
M20,3,M,2.13,7.48E-02,7.07E-06,20,4.78E-03,Four
M21,5,M,1.79,4.20E-02,5.48E-06,20,1.39E-02,Four
M22,7,M,1.88,5.08E-02,7.35E-06,20,1.09E-02,Four
M23,9,M,1.62,7.02E-02,4.93E-06,20,2.53E-02,Four
M24,11,M,1.65,6.15E-02,5.82E-06,20,1.93E-02,Four
M25,2,M,2.32,5.41E-02,1.29E-05,10,6.03E-02,Five
M26,4,M,2.4,5.00E-02,6.54E-06,10,4.66E-02,Five
M27,6,M,2.29,4.75E-02,3.14E-06,10,1.17E-01,Five
M28,8,M,2.51,5.02E-02,3.53E-06,10,7.71E-03,Five
M29,10,M,2.27,3.99E-02,3.88E-06,10,1.23E-01,Five
M30,12,M,2.44,3.98E-02,2.83E-06,10,5.81E-02,Five
M31,1,M,2.12,4.86E-02,4.16E-06,10,2.23E-02,Six
M32,3,M,2.56,5.21E-02,8.64E-06,10,1.06E-02,Six
M33,5,M,2.25,4.74E-03,3.96E-06,10,1.16E-02,Six
M34,7,M,2.4,7.21E-02,9.49E-06,10,3.93E-02,Six
M35,9,M,1.95,2.36E-02,2.23E-06,10,2.43E-02,Six
M36,11,M,2.18,3.45E-02,8.72E-06,10,3.70E-02,Six
