Code,chamber,Sex,Mass,CO2 prod uL/min,VCOsd,Age,Act,batch
F1,1,F,2.63,1.04E-01,5.45E-06,20,8.87E-02,One
F2,3,F,2.31,1.06E-01,7.59E-06,20,6.38E-03,One
F3,5,F,2.52,4.70E-02,2.68E-06,20,6.63E-03,One
F4,7,F,2.32,6.64E-02,3.44E-06,20,3.41E-03,One
F5,9,F,2.68,7.00E-02,1.21E-05,20,4.59E-02,One
F6,11,F,2.66,4.45E-02,4.80E-06,20,5.57E-02,One
F7,2,F,2.64,9.39E-02,9.81E-06,15,1.67E-01,Two
F8,4,F,2.64,8.43E-02,2.78E-06,15,4.65E-02,Two
F9,6,F,2.52,7.19E-02,2.28E-06,15,1.14E-01,Two
F10,8,F,1.93,4.58E-02,1.74E-06,15,5.40E-02,Two
F11,10,F,2.57,5.38E-02,2.90E-06,15,8.67E-02,Two
F12,12,F,2.65,5.18E-02,2.24E-06,15,1.65E-01,Two
F13,1,F,1.68,5.54E-02,8.09E-06,15,1.16E-02,Three
F14,3,F,2.41,8.51E-02,5.02E-06,15,1.69E-03,Three
F15,5,F,1.61,6.43E-02,5.64E-06,15,6.82E-03,Three
F16,7,F,1.86,8.06E-02,8.98E-06,15,5.55E-03,Three
F17,9,F,1.81,6.89E-02,2.96E-06,15,9.21E-03,Three
F18,11,F,1.73,7.97E-02,1.58E-05,15,1.87E-02,Three
F19,2,F,1.91,6.31E-02,2.41E-06,20,1.12E-02,Four
F20,4,F,2.47,7.58E-02,6.97E-06,20,6.52E-03,Four
F21,6,F,2.01,5.63E-02,4.12E-06,20,1.54E-02,Four
F22,8,F,2.25,4.93E-02,5.07E-06,20,6.01E-03,Four
F23,10,F,2.27,6.92E-02,3.72E-06,20,5.81E-03,Four
F24,12,F,2.48,6.27E-02,3.53E-06,20,1.18E-02,Four
F25,1,F,2.9,7.56E-02,7.23E-06,10,1.29E-02,Five
F26,3,F,2.42,6.14E-02,7.95E-06,10,2.84E-02,Five
F27,5,F,3.03,4.76E-02,4.09E-06,10,2.34E-02,Five
F28,7,F,3.24,7.86E-02,1.01E-05,10,3.33E-02,Five
F29,9,F,2.76,4.60E-02,6.30E-06,10,7.61E-02,Five
F30,11,F,2.66,4.06E-02,3.28E-06,10,6.50E-02,Five
F31,2,F,2.88,2.82E-02,2.80E-06,10,1.01E-02,Six
F32,4,F,3.16,5.93E-02,5.16E-06,10,1.32E-02,Six
F33,6,F,2.17,4.97E-02,9.33E-06,10,5.04E-02,Six
F34,8,F,2.42,1.96E-02,1.95E-06,10,1.34E-02,Six
F35,10,F,2.23,4.71E-02,4.05E-06,10,5.66E-02,Six
F36,12,F,2.94,5.11E-02,9.28E-06,10,1.19E-02,Six
F1,2,F,1.87,5.86E-02,21,3.32E-01,0,i
F2,4,F,2.19,6.35E-02,21,1.32E-01,0,i
F3,6,F,2.31,3.37E-02,21,6.05E-02,0,i
F4,8,F,2.05,3.87E-02,21,7.31E-02,0,i
F5,10,F,2.97,4.30E-02,21,3.04E-02,0,i
F6,12,F,2.28,5.26E-02,21,1.13E-01,0,i
F7,14,F,1.91,3.10E-02,21,5.97E-02,0,i
F8,1,F,2.47,1.07E-01,11,9.65E-02,0,ii
F9,3,F,2.56,8.78E-02,11,1.51E-01,0,ii
F10,5,F,2.86,8.31E-02,11,6.98E-02,0,ii
F11,7,F,2.31,6.57E-02,11,2.19E-01,0,ii
F12,9,F,2.04,4.39E-02,11,3.15E-02,0,ii
F13,11,F,2.45,6.84E-02,11,9.49E-02,0,ii
F14,13,F,2.78,7.67E-02,11,1.16E-01,0,ii
F15,2,F,2.94,1.16E-01,15,1.21E-01,0,iii
F16,4,F,2.33,7.67E-02,15,4.52E-02,0,iii
F17,6,F,2.22,5.96E-02,15,1.19E-01,0,iii
F18,8,F,1.94,4.39E-02,15,4.81E-02,0,iii
F19,10,F,2.38,5.43E-02,15,1.66E-01,0,iii
F20,12,F,2.87,8.33E-02,15,9.10E-02,0,iii
F21,14,F,2.43,6.43E-02,15,1.39E-01,0,iii
F22,1,F,2.69,2.49E-01,15,1.52E-01,0,iv
F23,3,F,2.86,8.10E-02,15,1.24E-01,0,iv
F24,5,F,2.8,7.33E-02,15,2.50E-02,0,iv
F25,7,F,2.7,7.08E-02,15,5.02E-02,0,iv
F26,9,F,2.52,6.52E-02,15,8.87E-02,0,iv
F27,11,F,2.76,7.78E-02,15,1.92E-01,0,iv
F28,13,F,2.96,7.11E-02,15,2.12E-01,0,iv
