Virgin unexposed,Mated unexposed,Virgin exposed,Mated exposed
6.48E-02,9.62E-02,1.16E-01,NA
4.19E-02,2.40E-02,8.26E-02,4.63E-02
1.02E-02,1.20E-02,9.84E-02,7.21E-02
2.05E-02,NA,4.99E-02,7.38E-02
2.40E-02,2.62E-02,3.88E-02,5.70E-02
5.72E-02,5.54E-02,6.78E-02,6.80E-02
1.19E-02,9.21E-03,7.03E-02,1.15E-01
3.94E-02,6.45E-02,NA,1.57E-01
4.19E-02,4.82E-02,5.64E-02,7.42E-02
2.61E-02,5.65E-02,7.56E-02,7.96E-02
4.19E-02,6.34E-02,6.58E-02,7.62E-02
3.12E-02,7.63E-02,4.79E-02,7.32E-02
2.93E-02,2.52E-02,5.23E-02,6.41E-02
3.71E-02,5.91E-02,8.15E-02,9.19E-02
6.80E-02,6.76E-02,1.16E-01,NA
6.01E-02,4.94E-02,1.13E-01,7.14E-02
5.95E-02,6.90E-02,5.40E-02,8.37E-02
2.18E-02,4.66E-02,6.93E-02,4.44E-02
4.02E-02,2.04E-02,5.24E-02,9.21E-02
4.29E-02,3.21E-02,5.68E-02,5.86E-02
3.56E-02,1.44E-01,4.63E-02,5.82E-02
8.49E-02,8.63E-02,8.23E-02,1.61E-01
7.17E-02,6.03E-02,9.45E-02,1.24E-01
5.94E-02,4.40E-02,8.42E-02,5.91E-02
5.06E-02,7.72E-02,NA,9.46E-02
5.72E-02,6.46E-02,9.50E-02,8.76E-02
5.62E-02,7.55E-02,6.34E-02,1.39E-01
5.25E-02,,6.89E-02,6.45E-02
,,1.45E-01,NA
,,1.21E-01,6.07E-02
,,1.08E-01,5.71E-02
,,8.65E-02,NA
,,6.22E-02,9.95E-02
,,9.09E-02,5.40E-02
,,8.23E-02,6.20E-02
