Virgin unexposed,Mated unexposed,Virgin exposed,Mated exposed
7.53E-03,0.0433,0.55,0.23
2.82E-03,2.22E-03,0.25,0.2
0.0134,4.88E-03,0.4,0.19
4.65E-02,8.43E-03,0.15,0.11
1.17E-02,1.30E-02,0.24,8.23E-02
4.55E-02,1.44E-02,0.11,0.12
8.49E-02,0.0108,8.51E-02,0.61
2.37E-02,6.64E-03,9.12E-02,0.25
3.50E-02,4.87E-03,0.16,0.38
5.37E-03,2.19E-02,0.28,0.31
6.64E-03,6.76E-03,0.23,0.27
1.39E-02,8.20E-03,5.57E-02,0.12
1.10E-02,1.01E-02,0.11,0.15
3.01E-02,1.57E-03,0.21,6.58E-02
0.222,1.11E-02,0.19,1.82E-02
8.17E-03,6.35E-03,8.37E-02,4.19E-02
4.44E-02,1.27E-02,5.73E-02,0.24
4.30E-03,1.75E-02,0.14,1.50E-02
5.83E-03,1.17E-02,4.84E-02,0.19
1.65E-02,1.88E-02,4.95E-02,0.05
1.25E-02,0.132,0.11,3.33E-02
4.66E-03,3.40E-04,0.06,7.73E-02
3.54E-03,0.0211,0.14,0.2
5.13E-03,1.20E-02,0.16,3.45E-02
1.65E-03,1.35E-02,5.61E-02,0.3
9.61E-03,5.81E-02,0.21,4.94E-02
1.21E-02,6.88E-03,5.40E-02,0.2
1.50E-02,,7.81E-02,5.95E-02
,,0.35,0.16
,,0.23,2.56E-02
,,9.91E-02,0.11
,,0.13,0.18
,,5.36E-02,0.14
,,0.26,0.16
,,0.19,0.11
