Code,chamber,Sex,Mass,CO2 prod uL/min,VCOsd,Age,Act,batch
F1,1,F,2.63,1.04E-01,5.45E-06,20,8.87E-02,One
F2,3,F,2.31,1.06E-01,7.59E-06,20,6.38E-03,One
F3,5,F,2.52,4.70E-02,2.68E-06,20,6.63E-03,One
F4,7,F,2.32,6.64E-02,3.44E-06,20,3.41E-03,One
F5,9,F,2.68,7.00E-02,1.21E-05,20,4.59E-02,One
F6,11,F,2.66,4.45E-02,4.80E-06,20,5.57E-02,One
F7,2,F,2.64,9.39E-02,9.81E-06,15,1.67E-01,Two
F8,4,F,2.64,8.43E-02,2.78E-06,15,4.65E-02,Two
F9,6,F,2.52,7.19E-02,2.28E-06,15,1.14E-01,Two
F10,8,F,1.93,4.58E-02,1.74E-06,15,5.40E-02,Two
F11,10,F,2.57,5.38E-02,2.90E-06,15,8.67E-02,Two
F12,12,F,2.65,5.18E-02,2.24E-06,15,1.65E-01,Two
F13,1,F,1.68,5.54E-02,8.09E-06,15,1.16E-02,Three
F14,3,F,2.41,8.51E-02,5.02E-06,15,1.69E-03,Three
F15,5,F,1.61,6.43E-02,5.64E-06,15,6.82E-03,Three
F16,7,F,1.86,8.06E-02,8.98E-06,15,5.55E-03,Three
F17,9,F,1.81,6.89E-02,2.96E-06,15,9.21E-03,Three
F18,11,F,1.73,7.97E-02,1.58E-05,15,1.87E-02,Three
F19,2,F,1.91,6.31E-02,2.41E-06,20,1.12E-02,Four
F20,4,F,2.47,7.58E-02,6.97E-06,20,6.52E-03,Four
F21,6,F,2.01,5.63E-02,4.12E-06,20,1.54E-02,Four
F22,8,F,2.25,4.93E-02,5.07E-06,20,6.01E-03,Four
F23,10,F,2.27,6.92E-02,3.72E-06,20,5.81E-03,Four
F24,12,F,2.48,6.27E-02,3.53E-06,20,1.18E-02,Four
F25,1,F,2.9,7.56E-02,7.23E-06,10,1.29E-02,Five
F26,3,F,2.42,6.14E-02,7.95E-06,10,2.84E-02,Five
F27,5,F,3.03,4.76E-02,4.09E-06,10,2.34E-02,Five
F28,7,F,3.24,7.86E-02,1.01E-05,10,3.33E-02,Five
F29,9,F,2.76,4.60E-02,6.30E-06,10,7.61E-02,Five
F30,11,F,2.66,4.06E-02,3.28E-06,10,6.50E-02,Five
F31,2,F,2.88,2.82E-02,2.80E-06,10,1.01E-02,Six
F32,4,F,3.16,5.93E-02,5.16E-06,10,1.32E-02,Six
F33,6,F,2.17,4.97E-02,9.33E-06,10,5.04E-02,Six
F34,8,F,2.42,1.96E-02,1.95E-06,10,1.34E-02,Six
F35,10,F,2.23,4.71E-02,4.05E-06,10,5.66E-02,Six
F36,12,F,2.94,5.11E-02,9.28E-06,10,1.19E-02,Six
