Code,chamber,Sex,Mass,CO2 prod uL/min
F1,2,F,1.87,5.86E-02
F2,4,F,2.19,6.35E-02
F3,6,F,2.31,3.37E-02
F4,8,F,2.05,3.87E-02
F5,10,F,2.97,4.30E-02
F6,12,F,2.28,5.26E-02
F7,14,F,1.91,3.10E-02
F8,1,F,2.47,1.07E-01
F9,3,F,2.56,8.78E-02
F10,5,F,2.86,8.31E-02
F11,7,F,2.31,6.57E-02
F12,9,F,2.04,4.39E-02
F13,11,F,2.45,6.84E-02
F14,13,F,2.78,7.67E-02
F15,2,F,2.94,1.16E-01
F16,4,F,2.33,7.67E-02
F17,6,F,2.22,5.96E-02
F18,8,F,1.94,4.39E-02
F19,10,F,2.38,5.43E-02
F20,12,F,2.87,8.33E-02
F21,14,F,2.43,6.43E-02
F22,1,F,2.69,2.49E-01
F23,3,F,2.86,8.10E-02
F24,5,F,2.8,7.33E-02
F25,7,F,2.7,7.08E-02
F26,9,F,2.52,6.52E-02
F27,11,F,2.76,7.78E-02
F28,13,F,2.96,7.11E-02
