Code,chamber,Sex,Mass,CO2 prod uL/min
F1,1,F,2.63,1.04E-01
F2,3,F,2.31,1.06E-01
F3,5,F,2.52,4.70E-02
F4,7,F,2.32,6.64E-02
F5,9,F,2.68,7.00E-02
F6,11,F,2.66,4.45E-02
F7,2,F,2.64,9.39E-02
F8,4,F,2.64,8.43E-02
F9,6,F,2.52,7.19E-02
F10,8,F,1.93,4.58E-02
F11,10,F,2.57,5.38E-02
F12,12,F,2.65,5.18E-02
F13,1,F,1.68,5.54E-02
F14,3,F,2.41,8.51E-02
F15,5,F,1.61,6.43E-02
F16,7,F,1.86,8.06E-02
F17,9,F,1.81,6.89E-02
F18,11,F,1.73,7.97E-02
F19,2,F,1.91,6.31E-02
F20,4,F,2.47,7.58E-02
F21,6,F,2.01,5.63E-02
F22,8,F,2.25,4.93E-02
F23,10,F,2.27,6.92E-02
F24,12,F,2.48,6.27E-02
F25,1,F,2.9,7.56E-02
F26,3,F,2.42,6.14E-02
F27,5,F,3.03,4.76E-02
F28,7,F,3.24,7.86E-02
F29,9,F,2.76,4.60E-02
F30,11,F,2.66,4.06E-02
F31,2,F,2.88,2.82E-02
F32,4,F,3.16,5.93E-02
F33,6,F,2.17,4.97E-02
F34,8,F,2.42,1.96E-02
F35,10,F,2.23,4.71E-02
F36,12,F,2.94,5.11E-02
