Code,chamber,Sex,Mass,CO2 prod uL/min,Age,Act,mites,batch
M1,1,M,1.84,1.94E-01,21,1.02E+00,0,i
M2,3,M,1.65,1.04E-01,21,6.00E-02,0,i
M3,5,M,1.83,6.71E-02,21,5.87E-02,0,i
M4,7,M,1.89,4.52E-02,21,1.09E-01,0,i
M5,9,M,1.79,6.32E-02,21,2.09E-02,1,i
M6,11,M,1.74,3.81E-02,21,9.47E-02,0,i
M7,13,M,1.92,4.91E-02,21,6.42E-02,1,i
M8,2,M,1.8,5.10E-02,11,8.93E-02,0,ii
M9,4,M,1.87,6.19E-02,11,2.68E-01,0,ii
M10,6,M,1.94,3.99E-02,11,4.18E-02,0,ii
M11,8,M,2,5.46E-02,11,5.56E-02,0,ii
M12,10,M,1.89,6.35E-02,11,7.21E-02,0,ii
M13,12,M,1.99,6.09E-02,11,2.33E-02,0,ii
M14,14,M,1.67,6.29E-02,11,5.79E-02,0,ii
M15,1,M,1.96,1.01E-01,15,1.87E-01,0,iii
M16,3,M,1.78,6.42E-02,15,1.64E-01,0,iii
M17,5,M,1.92,5.27E-02,15,9.53E-02,0,iii
M18,7,M,1.87,4.69E-02,15,8.21E-02,0,iii
M19,9,M,2.16,6.65E-02,15,6.48E-02,0,iii
M20,11,M,1.9,5.12E-02,15,3.60E-03,0,iii
M21,13,M,2.21,5.45E-02,15,2.26E-01,0,iii
M22,2,M,2.11,1.46E-01,15,1.56E-01,0,iv
M23,4,M,2.25,1.14E-01,15,1.99E-02,0,iv
M24,6,M,2.01,1.16E-01,15,2.68E-01,0,iv
M25,8,M,2.09,7.19E-02,15,6.20E-02,0,iv
M26,10,M,2.35,8.61E-02,15,8.99E-02,0,iv
M27,12,M,1.97,5.34E-02,15,8.75E-02,0,iv
M28,14,M,2.07,6.33E-02,15,1.24E-01,0,iv
