Code,chamber,Sex,Mass,CO2 prod uL/min
M1,1,M,1.84,1.94E-01
M2,3,M,1.65,1.04E-01
M3,5,M,1.83,6.71E-02
M4,7,M,1.89,4.52E-02
M5,9,M,1.79,6.32E-02
M6,11,M,1.74,3.81E-02
M7,13,M,1.92,4.91E-02
M8,2,M,1.8,5.10E-02
M9,4,M,1.87,6.19E-02
M10,6,M,1.94,3.99E-02
M11,8,M,2,5.46E-02
M12,10,M,1.89,6.35E-02
M13,12,M,1.99,6.09E-02
M14,14,M,1.67,6.29E-02
M15,1,M,1.96,1.01E-01
M16,3,M,1.78,6.42E-02
M17,5,M,1.92,5.27E-02
M18,7,M,1.87,4.69E-02
M19,9,M,2.16,6.65E-02
M20,11,M,1.9,5.12E-02
M21,13,M,2.21,5.45E-02
M22,2,M,2.11,1.46E-01
M23,4,M,2.25,1.14E-01
M24,6,M,2.01,1.16E-01
M25,8,M,2.09,7.19E-02
M26,10,M,2.35,8.61E-02
M27,12,M,1.97,5.34E-02
M28,14,M,2.07,6.33E-02
