Code,chamber,Sex,Mass,CO2 prod uL/min
M1,2,M,1.6,8.70E-02
M2,4,M,2.05,1.18E-01
M3,6,M,2.28,6.62E-02
M4,8,M,2.09,6.86E-02
M5,10,M,2.1,5.55E-02
M6,12,M,2.02,4.82E-02
M7,1,M,1.48,4.18E-02
M8,3,M,1.82,8.53E-02
M9,5,M,2.18,5.38E-02
M10,7,M,2.46,6.82E-02
M11,9,M,1.69,4.36E-02
M12,11,M,1.66,3.21E-02
M13,2,M,2.36,5.22E-02
M14,4,M,3.27,7.16E-02
M15,6,M,2.72,3.53E-02
M16,8,M,3.46,3.94E-02
M17,10,M,2.86,4.10E-02
M18,12,M,3.05,3.50E-02
M19,1,M,1.57,5.57E-02
M20,3,M,2.13,7.48E-02
M21,5,M,1.79,4.20E-02
M22,7,M,1.88,5.08E-02
M23,9,M,1.62,7.02E-02
M24,11,M,1.65,6.15E-02
M25,2,M,2.32,5.41E-02
M26,4,M,2.4,5.00E-02
M27,6,M,2.29,4.75E-02
M28,8,M,2.51,5.02E-02
M29,10,M,2.27,3.99E-02
M30,12,M,2.44,3.98E-02
M31,1,M,2.12,4.86E-02
M32,3,M,2.56,5.21E-02
M33,5,M,2.25,4.74E-03
M34,7,M,2.4,7.21E-02
M35,9,M,1.95,2.36E-02
M36,11,M,2.18,3.45E-02
