Male unexposed,Female unexposed,Male exposed,Female exposed
8.70E-02,1.04E-01,1.94E-01,5.86E-02
1.18E-01,1.06E-01,1.04E-01,6.35E-02
6.62E-02,4.70E-02,6.71E-02,3.37E-02
6.86E-02,6.64E-02,4.52E-02,3.87E-02
5.55E-02,7.00E-02,6.32E-02,4.30E-02
4.82E-02,4.45E-02,3.81E-02,5.26E-02
4.18E-02,9.39E-02,4.91E-02,3.10E-02
8.53E-02,8.43E-02,5.10E-02,1.07E-01
5.38E-02,7.19E-02,6.19E-02,8.78E-02
6.82E-02,4.58E-02,3.99E-02,8.31E-02
4.36E-02,5.38E-02,5.46E-02,6.57E-02
3.21E-02,5.18E-02,6.35E-02,4.39E-02
5.22E-02,5.54E-02,6.09E-02,6.84E-02
7.16E-02,8.51E-02,6.29E-02,7.67E-02
3.53E-02,6.43E-02,1.01E-01,1.16E-01
3.94E-02,8.06E-02,6.42E-02,7.67E-02
4.10E-02,6.89E-02,5.27E-02,5.96E-02
3.50E-02,7.97E-02,4.69E-02,4.39E-02
5.57E-02,6.31E-02,6.65E-02,5.43E-02
7.48E-02,7.58E-02,5.12E-02,8.33E-02
4.20E-02,5.63E-02,5.45E-02,6.43E-02
5.08E-02,4.93E-02,1.46E-01,2.49E-01
7.02E-02,6.92E-02,1.14E-01,8.10E-02
6.15E-02,6.27E-02,1.16E-01,7.33E-02
5.41E-02,7.56E-02,7.19E-02,7.08E-02
5.00E-02,6.14E-02,8.61E-02,6.52E-02
4.75E-02,4.76E-02,5.34E-02,7.78E-02
5.02E-02,7.86E-02,6.33E-02,7.11E-02
3.99E-02,4.60E-02,,
3.98E-02,4.06E-02,,
4.86E-02,2.82E-02,,
5.21E-02,5.93E-02,,
4.74E-03,4.97E-02,,
7.21E-02,1.96E-02,,
2.36E-02,4.71E-02,,
3.45E-02,5.11E-02,,
