Treatment,Sex,CO2
Unexposed,Male,8.70E-02
Unexposed,Male,1.18E-01
Unexposed,Male,6.62E-02
Unexposed,Male,6.86E-02
Unexposed,Male,5.55E-02
Unexposed,Male,4.82E-02
Unexposed,Male,4.18E-02
Unexposed,Male,8.53E-02
Unexposed,Male,5.38E-02
Unexposed,Male,6.82E-02
Unexposed,Male,4.36E-02
Unexposed,Male,3.21E-02
Unexposed,Male,5.22E-02
Unexposed,Male,7.16E-02
Unexposed,Male,3.53E-02
Unexposed,Male,3.94E-02
Unexposed,Male,4.10E-02
Unexposed,Male,3.50E-02
Unexposed,Male,5.57E-02
Unexposed,Male,7.48E-02
Unexposed,Male,4.20E-02
Unexposed,Male,5.08E-02
Unexposed,Male,7.02E-02
Unexposed,Male,6.15E-02
Unexposed,Male,5.41E-02
Unexposed,Male,5.00E-02
Unexposed,Male,4.75E-02
Unexposed,Male,5.02E-02
Unexposed,Male,3.99E-02
Unexposed,Male,3.98E-02
Unexposed,Male,4.86E-02
Unexposed,Male,5.21E-02
Unexposed,Male,4.74E-03
Unexposed,Male,7.21E-02
Unexposed,Male,2.36E-02
Unexposed,Male,3.45E-02
Unexposed,Female,1.04E-01
Unexposed,Female,1.06E-01
Unexposed,Female,4.70E-02
Unexposed,Female,6.64E-02
Unexposed,Female,7.00E-02
Unexposed,Female,4.45E-02
Unexposed,Female,9.39E-02
Unexposed,Female,8.43E-02
Unexposed,Female,7.19E-02
Unexposed,Female,4.58E-02
Unexposed,Female,5.38E-02
Unexposed,Female,5.18E-02
Unexposed,Female,5.54E-02
Unexposed,Female,8.51E-02
Unexposed,Female,6.43E-02
Unexposed,Female,8.06E-02
Unexposed,Female,6.89E-02
Unexposed,Female,7.97E-02
Unexposed,Female,6.31E-02
Unexposed,Female,7.58E-02
Unexposed,Female,5.63E-02
Unexposed,Female,4.93E-02
Unexposed,Female,6.92E-02
Unexposed,Female,6.27E-02
Unexposed,Female,7.56E-02
Unexposed,Female,6.14E-02
Unexposed,Female,4.76E-02
Unexposed,Female,7.86E-02
Unexposed,Female,4.60E-02
Unexposed,Female,4.06E-02
Unexposed,Female,2.82E-02
Unexposed,Female,5.93E-02
Unexposed,Female,4.97E-02
Unexposed,Female,1.96E-02
Unexposed,Female,4.71E-02
Unexposed,Female,5.11E-02
Exposed,Male,1.94E-01
Exposed,Male,1.04E-01
Exposed,Male,6.71E-02
Exposed,Male,4.52E-02
Exposed,Male,6.32E-02
Exposed,Male,3.81E-02
Exposed,Male,4.91E-02
Exposed,Male,5.10E-02
Exposed,Male,6.19E-02
Exposed,Male,3.99E-02
Exposed,Male,5.46E-02
Exposed,Male,6.35E-02
Exposed,Male,6.09E-02
Exposed,Male,6.29E-02
Exposed,Male,1.01E-01
Exposed,Male,6.42E-02
Exposed,Male,5.27E-02
Exposed,Male,4.69E-02
Exposed,Male,6.65E-02
Exposed,Male,5.12E-02
Exposed,Male,5.45E-02
Exposed,Male,1.46E-01
Exposed,Male,1.14E-01
Exposed,Male,1.16E-01
Exposed,Male,7.19E-02
Exposed,Male,8.61E-02
Exposed,Male,5.34E-02
Exposed,Male,6.33E-02
Exposed,Female,5.86E-02
Exposed,Female,6.35E-02
Exposed,Female,3.37E-02
Exposed,Female,3.87E-02
Exposed,Female,4.30E-02
Exposed,Female,5.26E-02
Exposed,Female,3.10E-02
Exposed,Female,1.07E-01
Exposed,Female,8.78E-02
Exposed,Female,8.31E-02
Exposed,Female,6.57E-02
Exposed,Female,4.39E-02
Exposed,Female,6.84E-02
Exposed,Female,7.67E-02
Exposed,Female,1.16E-01
Exposed,Female,7.67E-02
Exposed,Female,5.96E-02
Exposed,Female,4.39E-02
Exposed,Female,5.43E-02
Exposed,Female,8.33E-02
Exposed,Female,6.43E-02
Exposed,Female,2.49E-01
Exposed,Female,8.10E-02
Exposed,Female,7.33E-02
Exposed,Female,7.08E-02
Exposed,Female,6.52E-02
Exposed,Female,7.78E-02
Exposed,Female,7.11E-02
